Model,CV_RMSE,24h_Test_RMSE,24h_Test_R²,48h_Test_RMSE,48h_Test_R²,72h_Test_RMSE,72h_R²,Best_Params
catboost,28.24160175445009,21.97014075229439,0.41620006223410544,31.88754843855879,-0.12691284003609882,38.56211309762919,-0.6002879628601516,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.05}"
lightgbm,26.304317921322856,23.104363771994116,0.3543659991579884,33.645254032311556,-0.25457228154863354,40.878271702842895,-0.7982975075890477,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 1500, 'num_leaves': 31, 'subsample': 0.8}"
random_forest,25.84271176121771,23.27109516388287,0.34501401070258997,32.77308122563625,-0.19037175464752965,39.34257778342178,-0.6657204391087956,"{'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 277}"
xgboost,26.27506497151216,23.545047661112708,0.3295019584550112,33.361098336568475,-0.23347043759628905,39.977425146684446,-0.7199116096826623,"{'colsample_bytree': 1.0, 'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 1000, 'subsample': 0.9}"
svr,26.814292543665218,39.361066815510526,-0.8738381962138488,36.63311798665795,-0.48729060322456963,36.36651348880074,-0.42324551428271895,"{'C': 67.08188643346287, 'epsilon': 0.12265764356910785, 'gamma': 'auto', 'kernel': 'rbf'}"
