Model,RMSE,MAE,R2
catboost_24h_finetuned,20.681596796232622,16.967152288522584,0.4234024538489126
tcn_48h_finetuned,31.442121344287607,28.190860748291016,-0.2279268503189087
tcn_72h_finetuned,31.963211847702254,28.0155029296875,-0.2287130355834961
