aqi_category,co,coco,day,day_of_week,day_of_year,day_of_year_cos,day_of_year_sin,dew_point,hour,is_weekend,month,nh3,no,no2,o3,pm10,pm2_5,precipitation,pressure,relative_humidity,so2,temperature,week_cos,week_of_year,week_sin,wind_direction,wind_speed,numerical_aqi,aqi_volatility
0.9999999999999999,0.4136064698599484,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.49184149184149184,0.0,0.0,0.0,0.08804977472645355,0.05188005711565921,0.37354602858092384,0.002723023775655355,0.35047973724364445,0.3482157300462649,0.0,0.7584269662921344,0.9400000000000001,0.12230953194396993,0.0515463917525773,1.0,0.0,0.9655341964406269,0.0,0.0,178.0,
0.9999999999999999,0.38327521515086116,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.46620046620046623,0.043478260869565216,0.0,0.0,0.059257670027891014,0.03653022370299857,0.34695912263210366,0.0056492582808372275,0.30992836268652857,0.3285450839561293,0.0,0.7584269662921344,1.0,0.11855141783395967,0.0,1.0,0.0,0.9655341964406269,0.6083333333333334,0.0783132530120482,175.0,
0.9999999999999999,0.3933862644206923,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.46620046620046623,0.08695652173913043,0.0,0.0,0.05543874704998927,0.10376011423131842,0.3317824304863188,0.001828896565738671,0.31960069309747324,0.3363421657122521,0.0,0.7865168539325822,1.0,0.13870857533310557,0.0,1.0,0.0,0.9655341964406269,0.625,0.0783132530120482,176.0,
0.9999999999999999,0.47426708617771673,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.5128205128205128,0.13043478260869565,0.0,0.0,0.05651147822355718,0.3191337458353165,0.31278387061039103,0.015444015444015443,0.3513590400082758,0.3623216538872173,0.0,0.8483146067415746,1.0,0.16330714041680902,0.0515463917525773,1.0,0.0,0.9655341964406269,0.5,0.04337349397590362,180.0,
0.9999999999999999,0.5753700064744034,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4638694638694639,0.17391304347826086,0.0,0.0,0.06140313237502682,0.5266539742979534,0.3051955245374986,0.06177606177606177,0.38891044042723766,0.39790999385292314,0.0,0.8146067415730336,0.76,0.18551417833959685,0.10309278350515466,1.0,0.0,0.9655341964406269,0.5638888888888889,0.060240963855421686,186.0,
0.9999999999999999,0.6764729267710902,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4172494172494173,0.21739130434782608,0.0,0.0,0.10216691697060716,0.5425987624940505,0.39254458845685164,0.13517577728104044,0.43564279618279145,0.4440454236630108,0.0,0.8707865168539328,0.51,0.2203621455415101,0.20618556701030927,1.0,0.0,0.9655341964406269,0.3611111111111111,0.08433734939759037,193.0,
0.9999999999999999,0.7068022883797711,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.43356643356643354,0.2608695652173913,0.0,0.0,0.12392190517056426,0.37767729652546406,0.47983826298881127,0.3052225157488315,0.4670908009413712,0.4769808146494549,0.0,0.8735955056179776,0.5,0.2507687051588657,0.23195876288659795,1.0,0.0,0.9655341964406269,0.8611111111111112,0.04337349397590362,198.0,
0.6666666666666666,0.20381876213950637,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.3076923076923077,0.30434782608695654,0.0,0.0,0.03913323321175713,0.04319371727748691,0.1020826409659909,0.610445031497663,0.11650761631365246,0.10844737778640527,0.0,0.8707865168539328,0.3,0.11752647762213872,0.28350515463917525,1.0,0.0,0.9655341964406269,0.1388888888888889,0.13253012048192772,118.0,
0.6666666666666666,0.09766126375810721,0.0,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.18181818181818182,0.34782608695652173,0.0,0.0,0.022827719373524995,0.012851023322227512,0.03184889775119087,0.6337329811014022,0.04440478961388264,0.03659128409201204,0.0,0.8707865168539328,0.19,0.06935428766655279,0.30927835051546393,1.0,0.0,0.9655341964406269,0.3611111111111111,0.18072289156626506,129.0,
0.6666666666666666,0.07112188916275743,0.0,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.2470862470862471,0.3913043478260869,0.0,0.0,0.019008796395623258,0.009519276534983342,0.02331893209261105,0.6046332046332047,0.02635322109292161,0.0199618234171277,0.0,0.8174157303370784,0.22,0.05842159207379569,0.3350515463917526,1.0,0.0,0.9655341964406269,0.8611111111111112,0.04337349397590362,115.0,
0.6666666666666666,0.06985729809137617,0.0,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.3076923076923077,0.43478260869565216,0.0,0.0,0.022827719373524995,0.012494050452165636,0.032790517336878246,0.5813858971753709,0.02640494478495875,0.020414765925782136,0.0,0.8426966292134814,0.25,0.07550392893747865,0.3608247422680413,1.0,0.0,0.9655341964406269,0.638888888888889,0.18072289156626506,104.0,
0.6666666666666666,0.09007750353063228,0.0,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.2517482517482518,0.4782608695652174,0.0,0.0,0.0358721304441107,0.019157544026653976,0.06220228204276059,0.569762243446454,0.0402927560969302,0.03335598045876606,0.0,0.8426966292134814,0.21,0.120259651520328,0.3608247422680413,1.0,0.0,0.9655341964406269,0.638888888888889,0.18072289156626506,101.0,
0.33333333333333337,0.10398043291420092,0.0,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4195804195804196,0.5217391304347826,0.0,0.0,0.04239433597940356,0.018562589243217516,0.09543591447878583,0.5348912822597034,0.046939250523702375,0.03979423468892556,0.0,0.8258426966292127,0.33,0.1325589340621797,0.38659793814432997,1.0,0.0,0.9655341964406269,0.638888888888889,0.13493975903614458,90.0,
0.0,0.1861258457426065,0.0,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4801864801864802,0.5652173913043478,0.0,0.0,0.09783308302939284,0.013802950975725843,0.2634319264428935,0.3517577728104044,0.08260273618330877,0.0691384386424666,0.0,0.8230337078651679,0.66,0.18141441749231293,0.17525773195876293,1.0,0.0,0.9655341964406269,0.8666666666666667,0.05662650602409639,70.0,
0.33333333333333337,0.3276691769178054,0.0,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.2843822843822844,0.6086956521739131,0.0,0.0,0.2217549881999571,0.003926701570680628,0.5216018610834163,0.12208900629953261,0.17239506555977963,0.14665631369504029,0.0,0.8426966292134814,0.28,0.3361803894772805,0.28350515463917525,1.0,0.0,0.9655341964406269,0.638888888888889,0.18072289156626506,125.0,
0.9999999999999999,0.48943271353226026,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.5151515151515151,0.6521739130434783,0.0,0.0,0.3826217549882,0.0737743931461209,0.7038329456076214,0.011826864458443406,0.2852820234308325,0.255977223462422,0.0,0.9044943820224738,0.77,0.5357020840450973,0.15463917525773196,1.0,0.0,0.9655341964406269,0.638888888888889,0.04337349397590362,163.0,
0.9999999999999999,0.570315428389691,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4172494172494173,0.6956521739130435,0.0,0.0,0.5391546878352286,0.1169681104236078,0.7418300653594769,0.0028449502133712657,0.3782036361755502,0.3500598531172151,0.0,0.8988764044943807,0.58,0.6986675777246326,0.15463917525773196,1.0,0.0,0.9655341964406269,0.8722222222222222,0.03855421686746988,178.0,
0.9999999999999999,0.6208668885380343,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4172494172494173,0.7391304347826086,0.0,0.0,0.6608882214117143,0.14100428367444073,0.7494184114323694,0.0015037593984962405,0.45868570098533634,0.4293247921317416,0.0,0.8988764044943807,0.58,0.7963785445848992,0.15463917525773196,1.0,0.0,0.9655341964406269,0.8527777777777779,0.04819277108433735,191.0,
0.9999999999999999,0.666361877501259,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4055944055944056,0.7826086956521738,0.0,0.0,0.7478223557176572,0.199428843407901,0.7645951035781543,0.000406421459053038,0.5145731502314634,0.4824161247533082,0.0,0.6882022471910112,0.73,0.8534335497096002,0.0515463917525773,1.0,0.0,0.9655341964406269,0.0,0.0,199.0,
0.9999999999999999,0.656252721331834,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4638694638694639,0.8260869565217391,0.0,0.0,0.7826217549882,0.20478343645882913,0.7494184114323694,0.00048770575086364557,0.5038404841337574,0.4730660972532273,0.0,0.8988764044943807,0.76,0.7963785445848992,0.10309278350515466,1.0,0.0,0.9655341964406269,0.6972222222222223,0.060240963855421686,198.0,
0.9999999999999999,0.5804245845591158,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4638694638694639,0.8695652173913043,0.0,0.0,0.7652435099764,0.12505949547834364,0.6810679073889442,0.002072749441170494,0.4414358496909509,0.4125012132388625,0.0,0.8988764044943807,0.76,0.6826101810727707,0.10309278350515466,1.0,0.0,0.9655341964406269,0.7416666666666667,0.060240963855421686,188.0,
0.9999999999999999,0.46921250809300424,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.3682983682983683,0.9130434782608695,0.0,0.0,0.7043552885646858,0.033912422655878155,0.5671873269081643,0.015281446860394227,0.356919336902268,0.33029214791808215,0.0,0.8988764044943807,0.72,0.5439016057396652,0.012886597938144312,1.0,0.0,0.9655341964406269,0.0,0.0,175.0,
0.6666666666666666,0.34788938235706146,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4638694638694639,0.9565217391304348,0.0,0.0,0.5000214546234714,0.0027367920038077107,0.39254458845685164,0.06397073765494818,0.25486849251299554,0.23106538548642794,0.0,0.8988764044943807,0.76,0.3361803894772805,0.10309278350515466,1.0,0.0,0.9655341964406269,0.7666666666666667,0.06506024096385543,159.0,
0.6666666666666666,0.26953584964239335,0.16666666666666666,0.1,0.16666666666666666,0.0,1.0,0.9372362471047797,0.4638694638694639,1.0,0.0,0.0,0.4478438103411285,0.00023798191337458352,0.25966544810014397,0.1264377159114001,0.1899293971603693,0.167815199456469,0.0,0.8988764044943807,0.76,0.2671677485480013,0.10309278350515466,1.0,0.0,0.9655341964406269,0.638888888888889,0.08433734939759037,141.0,0.391022408276445
