aqi_category,co,nh3,no,no2,o3,pm10,pm2_5,so2,timestamp
5.0,2456.67,24.07,7.82,87.74,0.6,136.5,97.88,5.84,2025-03-03 19:00:00
5.0,2456.67,32.93,8.16,82.94,0.26,137.16,99.82,5.78,2025-03-03 20:00:00
5.0,2456.67,51.17,8.61,80.2,0.1,145.38,105.66,6.85,2025-03-03 21:00:00
5.0,2429.96,61.81,7.6,76.77,0.27,148.77,108.97,7.45,2025-03-03 22:00:00
5.0,2376.56,38.0,5.64,71.29,0.41,143.65,108.25,5.42,2025-03-03 23:00:00
5.0,2296.45,20.52,4.36,67.86,0.67,135.52,107.63,3.87,2025-03-04 00:00:00
5.0,2136.23,13.81,3.07,63.06,1.39,119.84,101.55,3.76,2025-03-04 01:00:00
5.0,2189.64,12.92,8.72,60.32,0.45,123.58,103.96,4.35,2025-03-04 02:00:00
5.0,2616.88,13.17,26.82,56.89,3.8,135.86,111.99,5.07,2025-03-04 03:00:00
5.0,3150.94,14.31,44.26,55.52,15.2,150.38,122.99,5.72,2025-03-04 04:00:00
5.0,3685.0,23.81,45.6,71.29,33.26,168.45,137.25,6.74,2025-03-04 05:00:00
5.0,3845.21,28.88,31.74,87.05,75.1,180.61,147.43,7.63,2025-03-04 06:00:00
4.0,1188.28,9.12,3.63,18.85,150.2,45.05,33.52,3.73,2025-03-04 07:00:00
4.0,627.52,5.32,1.08,6.17,155.93,17.17,11.31,2.32,2025-03-04 08:00:00
4.0,487.33,4.43,0.8,4.63,148.77,10.19,6.17,2.0,2025-03-04 09:00:00
4.0,480.65,5.32,1.05,6.34,143.05,10.21,6.31,2.5,2025-03-04 10:00:00
4.0,587.46,8.36,1.61,11.65,140.19,15.58,10.31,3.81,2025-03-04 11:00:00
3.0,660.9,9.88,1.56,17.65,131.61,18.15,12.3,4.17,2025-03-04 12:00:00
2.0,1094.82,22.8,1.16,47.98,86.55,31.94,21.37,5.6,2025-03-04 13:00:00
3.0,1842.5,51.68,0.33,94.59,30.04,66.66,45.33,10.13,2025-03-04 14:00:00
5.0,2696.99,89.17,6.2,127.49,2.91,110.31,79.12,15.97,2025-03-04 15:00:00
5.0,3124.24,125.65,9.83,134.35,0.7,146.24,108.2,20.74,2025-03-04 16:00:00
5.0,3391.27,154.02,11.85,135.72,0.37,177.36,132.7,23.6,2025-03-04 17:00:00
5.0,3631.59,174.28,16.76,138.46,0.1,198.97,149.11,25.27,2025-03-04 18:00:00
5.0,3578.19,182.39,17.21,135.72,0.12,194.82,146.22,23.6,2025-03-04 19:00:00
5.0,3177.64,178.34,10.51,123.38,0.51,170.69,127.5,20.27,2025-03-04 20:00:00
5.0,2590.18,164.15,2.85,102.82,3.76,138.01,102.09,16.21,2025-03-04 21:00:00
4.0,1949.31,116.53,0.23,71.29,15.74,98.55,71.42,10.13,2025-03-04 22:00:00
4.0,1535.42,104.37,0.02,47.3,31.11,73.44,51.87,8.11,2025-03-04 23:00:00
3.0,1361.85,103.35,0.01,37.36,40.05,64.14,44.47,7.87,2025-03-05 00:00:00
5.0,2136.23,151.99,0.19,62.38,17.7,110.57,81.17,12.4,2025-03-07 01:00:00
5.0,2563.48,162.12,7.1,78.14,3.31,128.03,93.63,15.5,2025-03-07 02:00:00
5.0,3578.19,170.23,44.26,83.63,6.97,157.01,115.91,20.03,2025-03-07 03:00:00
5.0,4539.49,182.39,77.78,95.96,17.7,196.88,148.68,24.8,2025-03-07 04:00:00
5.0,5233.76,190.5,79.57,128.87,36.12,243.47,188.28,28.13,2025-03-07 05:00:00
5.0,5393.98,160.1,52.3,159.03,81.54,282.76,226.7,26.46,2025-03-07 06:00:00
5.0,1949.31,37.49,6.98,43.53,173.09,118.01,94.48,14.66,2025-03-07 07:00:00
5.0,1562.12,23.81,3.07,25.02,217.44,108.95,88.22,11.44,2025-03-07 08:00:00
5.0,1401.9,17.99,1.68,17.14,246.05,107.02,87.92,9.89,2025-03-07 09:00:00
5.0,1628.88,21.79,2.57,29.47,237.46,122.71,100.81,10.01,2025-03-07 10:00:00
5.0,2269.74,30.4,4.47,58.95,208.85,163.24,134.82,11.21,2025-03-07 11:00:00
5.0,2964.02,42.05,5.03,100.08,161.65,197.61,163.25,12.87,2025-03-07 12:00:00
5.0,3578.19,60.8,1.62,141.2,104.43,225.92,184.82,15.5,2025-03-07 13:00:00
5.0,4112.24,73.97,0.02,165.88,46.49,263.5,213.55,16.93,2025-03-07 14:00:00
5.0,4699.71,84.1,0.87,180.96,13.77,301.03,243.1,17.4,2025-03-07 15:00:00
5.0,4859.92,96.26,2.24,175.48,5.54,327.21,262.65,16.69,2025-03-07 16:00:00
5.0,4966.74,102.34,3.97,169.99,2.75,355.9,284.3,15.5,2025-03-07 17:00:00
5.0,5180.36,97.27,7.71,169.99,0.76,386.67,308.89,13.71,2025-03-07 18:00:00
5.0,5126.95,116.53,7.6,168.62,0.76,384.07,309.09,14.9,2025-03-07 19:00:00
5.0,4646.3,143.89,2.74,159.03,2.79,348.48,281.53,16.21,2025-03-07 20:00:00
5.0,4005.43,156.04,0.38,137.09,8.31,303.02,244.57,15.74,2025-03-07 21:00:00
5.0,3417.97,151.99,0.08,112.41,13.41,260.06,210.16,13.83,2025-03-07 22:00:00
5.0,2910.61,139.83,0.04,91.85,16.45,226.0,182.16,11.68,2025-03-07 23:00:00
5.0,2483.37,135.78,0.06,76.77,17.17,199.93,159.99,10.25,2025-03-08 00:00:00
5.0,2750.4,143.89,0.13,86.37,15.56,226.95,182.59,11.21,2025-03-08 01:00:00
5.0,2803.8,129.7,0.2,89.11,21.28,233.61,188.25,11.92,2025-03-08 02:00:00
5.0,2964.02,103.35,9.72,89.11,23.6,214.35,170.45,12.28,2025-03-08 03:00:00
5.0,3284.45,81.06,28.16,81.57,35.05,200.14,156.58,12.16,2025-03-08 04:00:00
5.0,3284.45,55.73,25.93,79.51,62.23,170.66,131.53,11.09,2025-03-08 05:00:00
5.0,2536.77,32.93,12.29,57.58,115.87,111.49,84.11,8.23,2025-03-08 06:00:00
4.0,680.92,6.27,0.98,6.43,145.91,16.6,9.39,1.89,2025-03-08 07:00:00
3.0,433.92,3.13,0.48,3.0,137.33,7.91,4.23,1.12,2025-03-08 08:00:00
3.0,410.56,2.82,0.44,2.87,137.33,6.69,3.62,0.98,2025-03-08 09:00:00
3.0,433.92,3.74,0.63,4.46,138.76,7.2,4.06,1.36,2025-03-08 10:00:00
3.0,514.03,6.08,0.98,8.83,134.47,9.31,5.4,2.12,2025-03-08 11:00:00
3.0,634.19,8.99,0.91,16.79,123.02,11.92,6.91,2.98,2025-03-08 12:00:00
2.0,1161.58,22.29,0.47,45.24,80.11,27.29,15.93,5.19,2025-03-08 13:00:00
3.0,1949.31,40.53,0.21,85.0,27.54,58.02,35.66,8.34,2025-03-08 14:00:00
4.0,2563.48,56.24,3.91,106.93,3.35,92.04,60.33,10.85,2025-03-08 15:00:00
5.0,2750.4,71.94,5.25,106.93,1.56,121.29,81.93,11.56,2025-03-08 16:00:00
5.0,2910.61,81.06,5.87,106.93,1.1,144.67,99.23,11.21,2025-03-08 17:00:00
5.0,3097.53,85.12,9.61,108.3,0.3,160.57,112.19,10.13,2025-03-08 18:00:00
5.0,3044.13,97.27,10.73,108.3,0.23,155.95,110.13,10.01,2025-03-08 19:00:00
5.0,2830.51,118.55,7.82,105.56,0.42,145.8,102.55,10.73,2025-03-08 20:00:00
5.0,2696.99,137.81,5.31,102.82,0.64,141.32,99.26,11.21,2025-03-08 21:00:00
5.0,2563.48,149.97,3.58,100.08,1.24,133.28,93.4,11.44,2025-03-08 22:00:00
5.0,2243.04,151.99,1.03,86.37,5.23,115.84,80.3,10.61,2025-03-08 23:00:00
4.0,1815.8,147.94,0.14,63.75,14.48,96.61,66.22,9.06,2025-03-09 00:00:00
4.0,1588.82,126.66,0.1,50.72,18.6,87.01,58.95,7.33,2025-03-09 01:00:00
4.0,1815.8,131.73,2.46,60.32,7.06,96.73,65.99,9.3,2025-03-09 02:00:00
5.0,2456.67,143.89,24.14,66.49,6.08,118.71,83.03,12.87,2025-03-09 03:00:00
5.0,2937.32,151.99,42.02,70.6,16.81,142.58,102.0,16.21,2025-03-09 04:00:00
5.0,3017.43,141.86,36.21,78.83,38.27,160.11,118.43,17.17,2025-03-09 05:00:00
5.0,2910.61,108.42,20.79,82.25,87.26,177.61,137.79,16.45,2025-03-09 06:00:00
5.0,1401.9,43.57,1.82,24.33,174.52,141.36,119.35,12.76,2025-03-09 07:00:00
5.0,1241.68,37.49,0.68,16.96,191.69,145.03,123.71,10.85,2025-03-09 08:00:00
5.0,1268.39,38.5,0.26,13.37,217.44,163.75,140.56,10.13,2025-03-09 09:00:00
5.0,1308.44,39.52,0.13,13.02,220.3,175.87,149.9,9.78,2025-03-09 10:00:00
5.0,1335.14,39.01,0.13,17.65,203.13,180.81,152.74,10.25,2025-03-09 11:00:00
5.0,1321.79,36.98,0.09,23.31,185.97,170.38,142.66,10.85,2025-03-09 12:00:00
5.0,1375.2,35.46,0.02,33.93,157.36,156.8,129.9,10.97,2025-03-09 13:00:00
5.0,1602.17,38.5,0.0,49.35,115.87,152.96,123.84,10.73,2025-03-09 14:00:00
5.0,1869.2,41.54,0.0,63.75,81.54,150.3,118.26,10.97,2025-03-09 15:00:00
5.0,2216.34,46.61,0.0,79.51,51.5,157.99,122.58,11.21,2025-03-09 16:00:00
5.0,2670.29,53.2,0.06,97.33,25.03,178.67,138.94,11.09,2025-03-09 17:00:00
5.0,3017.43,58.77,1.09,108.3,7.78,195.01,154.12,10.49,2025-03-09 18:00:00
5.0,3070.83,63.33,1.65,106.93,3.98,200.37,162.16,9.66,2025-03-09 19:00:00
5.0,2883.91,62.82,0.65,98.71,6.88,190.95,157.28,8.7,2025-03-09 20:00:00
5.0,2483.37,58.26,0.07,81.57,15.38,169.46,140.57,7.75,2025-03-09 21:00:00
5.0,1735.69,43.06,0.0,51.41,39.34,119.38,100.21,5.84,2025-03-09 22:00:00
4.0,1054.76,29.13,0.0,25.02,70.81,71.42,60.79,4.11,2025-03-09 23:00:00
3.0,667.57,21.03,0.0,11.65,94.41,43.92,37.88,3.55,2025-03-10 00:00:00
3.0,520.71,15.2,0.0,7.63,104.43,31.52,27.19,3.76,2025-03-10 01:00:00
3.0,567.44,13.17,0.0,11.14,101.57,29.74,25.02,4.23,2025-03-10 02:00:00
3.0,627.52,10.39,0.01,15.08,103.0,26.83,22.27,4.29,2025-03-10 03:00:00
3.0,520.71,6.78,0.07,10.37,125.89,21.08,18.15,2.8,2025-03-10 04:00:00
3.0,507.35,6.65,0.2,8.48,134.47,23.73,20.87,2.77,2025-03-10 05:00:00
4.0,500.68,7.22,0.33,7.28,140.19,25.57,22.69,2.86,2025-03-10 06:00:00
4.0,494.0,7.16,0.3,6.34,144.48,26.28,23.76,2.86,2025-03-10 07:00:00
4.0,500.68,7.22,0.23,6.51,145.91,27.05,24.74,2.83,2025-03-10 08:00:00
4.0,507.35,7.41,0.17,7.28,143.05,25.67,23.29,2.83,2025-03-10 09:00:00
3.0,527.38,7.92,0.16,8.57,138.76,25.1,22.25,2.89,2025-03-10 10:00:00
3.0,547.41,8.36,0.18,10.02,134.47,25.27,22.14,3.01,2025-03-10 11:00:00
3.0,560.76,8.11,0.13,11.31,131.61,25.01,21.99,2.95,2025-03-10 12:00:00
3.0,660.9,9.5,0.03,17.65,120.16,27.69,23.98,3.55,2025-03-10 13:00:00
3.0,894.55,13.05,0.0,29.13,100.14,37.09,30.7,4.89,2025-03-10 14:00:00
3.0,1201.63,13.05,0.0,41.47,82.97,51.41,42.13,6.2,2025-03-10 15:00:00
4.0,1628.88,15.58,0.0,56.89,61.51,73.39,60.26,7.09,2025-03-10 16:00:00
5.0,2189.64,17.99,0.04,77.46,32.9,103.31,85.27,7.33,2025-03-10 17:00:00
5.0,2723.69,18.49,0.92,95.96,11.62,126.1,106.26,6.85,2025-03-10 18:00:00
5.0,3044.13,22.29,3.32,105.56,2.57,136.76,117.1,6.08,2025-03-10 19:00:00
5.0,3124.24,32.93,4.08,106.93,1.05,140.49,120.05,6.02,2025-03-10 20:00:00
5.0,3017.43,48.13,3.13,101.45,1.18,141.05,118.91,6.56,2025-03-10 21:00:00
5.0,2750.4,67.89,2.18,91.85,1.88,137.09,112.93,7.51,2025-03-10 22:00:00
5.0,2349.85,84.1,0.85,78.83,5.54,127.1,101.96,8.11,2025-03-10 23:00:00
5.0,2002.72,92.21,0.27,65.8,11.62,116.39,91.74,8.58,2025-03-11 00:00:00
5.0,1895.9,95.25,0.42,59.63,11.62,112.46,87.23,9.06,2025-03-11 01:00:00
5.0,2216.34,82.08,6.82,63.06,2.1,122.99,93.37,9.54,2025-03-11 02:00:00
5.0,2910.61,54.21,30.85,63.06,4.78,137.7,104.35,9.3,2025-03-11 03:00:00
5.0,3364.56,38.0,46.04,62.38,15.91,145.47,112.12,8.23,2025-03-11 04:00:00
5.0,3578.19,37.49,41.13,76.09,37.55,159.38,125.91,8.82,2025-03-11 05:00:00
5.0,3524.78,32.93,23.92,85.0,92.98,174.99,142.8,10.49,2025-03-11 06:00:00
4.0,947.95,7.09,1.62,10.62,154.5,32.52,23.69,3.7,2025-03-11 07:00:00
4.0,707.63,5.32,0.6,4.58,158.79,25.68,16.74,2.53,2025-03-11 08:00:00
4.0,660.9,5.38,0.48,4.16,163.08,27.92,17.92,2.53,2025-03-11 09:00:00
4.0,647.54,5.64,0.45,4.5,164.51,29.58,18.88,2.68,2025-03-11 10:00:00
4.0,647.54,6.14,0.43,5.48,164.51,30.63,19.64,2.92,2025-03-11 11:00:00
4.0,654.22,6.71,0.34,7.45,158.79,30.96,19.62,3.07,2025-03-11 12:00:00
3.0,988.01,15.07,0.27,29.47,125.89,42.04,27.5,4.59,2025-03-11 13:00:00
3.0,1575.47,28.63,0.0,58.95,80.11,69.41,47.6,6.91,2025-03-11 14:00:00
5.0,2109.53,39.52,0.0,80.88,48.64,106.95,76.31,8.46,2025-03-11 15:00:00
5.0,2510.07,46.61,0.03,94.59,27.54,141.53,104.69,8.58,2025-03-11 16:00:00
5.0,2750.4,45.09,0.05,97.33,23.25,162.45,126.46,8.34,2025-03-11 17:00:00
5.0,2403.26,27.11,0.0,71.29,55.07,141.87,117.85,7.87,2025-03-11 18:00:00
5.0,1588.82,11.27,0.0,34.27,100.14,89.36,78.29,5.6,2025-03-11 19:00:00
4.0,1428.6,7.6,0.0,29.13,94.41,74.55,65.55,3.81,2025-03-11 20:00:00
4.0,1482.01,7.54,0.0,31.19,76.53,78.69,68.76,3.22,2025-03-11 21:00:00
5.0,1602.17,10.01,0.0,35.99,51.5,89.53,78.14,2.77,2025-03-11 22:00:00
5.0,1628.88,13.68,0.0,38.04,32.19,94.24,81.07,2.56,2025-03-11 23:00:00
5.0,1602.17,19.51,0.04,37.01,22.35,93.35,78.84,2.89,2025-03-12 00:00:00
5.0,1682.28,24.32,0.29,39.76,14.31,93.7,77.3,3.55,2025-03-12 01:00:00
5.0,2109.53,23.81,6.26,49.35,2.32,108.89,85.25,4.83,2025-03-12 02:00:00
5.0,2830.51,21.28,28.61,55.52,4.78,129.45,99.35,6.2,2025-03-12 03:00:00
5.0,3017.43,17.23,34.87,58.95,20.03,134.26,103.4,6.91,2025-03-12 04:00:00
5.0,3124.24,22.04,29.06,67.86,46.49,153.39,121.01,7.87,2025-03-12 05:00:00
5.0,3017.43,23.81,16.99,71.29,105.86,176.55,144.59,10.01,2025-03-12 06:00:00
4.0,827.79,7.16,1.3,9.08,160.22,36.49,27.8,3.93,2025-03-12 07:00:00
4.0,654.22,5.95,0.52,4.41,163.08,27.72,20.1,2.71,2025-03-12 08:00:00
4.0,640.87,6.14,0.43,4.37,164.51,28.56,20.68,2.71,2025-03-12 09:00:00
4.0,640.87,6.46,0.4,5.01,163.08,28.69,20.7,2.86,2025-03-12 10:00:00
4.0,634.19,6.84,0.38,6.0,158.79,28.22,20.17,2.98,2025-03-12 11:00:00
4.0,640.87,7.41,0.28,7.97,151.63,27.39,19.31,3.04,2025-03-12 12:00:00
3.0,947.95,15.2,0.18,29.47,114.44,36.8,25.08,4.35,2025-03-12 13:00:00
3.0,1482.01,28.12,0.0,58.95,63.66,59.59,39.79,6.26,2025-03-12 14:00:00
4.0,1976.01,38.5,0.05,82.25,30.4,87.78,59.24,7.39,2025-03-12 15:00:00
5.0,2403.26,48.13,1.47,95.96,8.67,117.1,81.35,8.46,2025-03-12 16:00:00
5.0,2883.91,64.34,9.16,102.82,0.49,148.64,106.66,11.32,2025-03-12 17:00:00
5.0,3311.16,82.08,17.43,108.3,0.04,168.99,127.62,14.54,2025-03-12 18:00:00
5.0,3364.56,93.22,14.53,115.16,0.11,164.94,130.88,15.74,2025-03-12 19:00:00
5.0,3231.05,100.31,8.49,113.79,0.33,158.04,128.49,15.97,2025-03-12 20:00:00
5.0,3177.64,112.47,5.59,113.79,0.42,161.47,131.89,16.21,2025-03-12 21:00:00
5.0,3177.64,125.65,5.64,113.79,0.23,171.52,138.85,16.21,2025-03-12 22:00:00
5.0,3070.83,133.75,4.92,106.93,0.59,172.59,139.46,15.74,2025-03-12 23:00:00
5.0,2750.4,131.73,2.96,94.59,1.72,164.95,134.09,14.54,2025-03-13 00:00:00
5.0,2536.77,131.73,3.3,83.63,1.7,158.84,129.14,14.19,2025-03-13 01:00:00
5.0,2777.1,133.75,15.87,80.88,0.27,170.45,136.15,16.21,2025-03-13 02:00:00
5.0,3578.19,135.78,50.96,80.2,4.78,192.63,151.23,19.31,2025-03-13 03:00:00
5.0,4272.46,111.46,77.78,82.25,12.7,221.31,173.75,18.36,2025-03-13 04:00:00
5.0,4486.08,78.02,66.16,98.71,25.75,245.37,195.54,14.07,2025-03-13 05:00:00
5.0,4219.06,62.82,35.32,112.41,59.37,256.74,209.93,14.31,2025-03-13 06:00:00
3.0,974.66,12.67,1.76,16.28,137.33,46.5,35.49,5.84,2025-03-13 07:00:00
4.0,707.63,7.79,0.51,6.85,144.48,25.73,17.63,3.25,2025-03-13 08:00:00
4.0,674.25,7.09,0.3,5.83,145.91,23.23,15.77,2.77,2025-03-13 09:00:00
4.0,654.22,6.71,0.3,5.65,145.91,20.99,14.11,2.62,2025-03-13 10:00:00
4.0,654.22,6.97,0.38,6.17,147.34,20.92,14.33,2.71,2025-03-13 11:00:00
4.0,667.57,7.41,0.36,7.37,147.34,20.98,14.52,2.83,2025-03-13 12:00:00
3.0,867.84,13.17,0.25,21.76,124.45,27.74,18.97,4.05,2025-03-13 13:00:00
3.0,1201.63,23.31,0.0,40.1,87.98,43.25,29.25,5.72,2025-03-13 14:00:00
3.0,1508.71,32.42,0.0,53.47,62.23,63.84,43.78,6.62,2025-03-13 15:00:00
4.0,1815.8,41.54,0.01,63.75,40.77,90.07,62.97,6.68,2025-03-13 16:00:00
5.0,2243.04,45.6,0.42,80.2,17.52,123.4,87.67,6.62,2025-03-13 17:00:00
5.0,2777.1,40.02,5.31,94.59,2.15,153.15,110.99,6.5,2025-03-13 18:00:00
5.0,3150.94,34.96,11.4,100.08,0.12,166.67,125.31,6.02,2025-03-13 19:00:00
5.0,3257.75,31.16,11.51,100.08,0.08,171.46,133.06,5.3,2025-03-13 20:00:00
5.0,3150.94,28.12,8.05,93.22,0.22,173.29,138.27,4.59,2025-03-13 21:00:00
5.0,2910.61,25.59,4.41,82.94,0.65,167.24,135.57,4.11,2025-03-13 22:00:00
5.0,2616.88,24.07,2.32,73.34,1.68,156.01,127.31,3.81,2025-03-13 23:00:00
5.0,2376.56,24.32,1.63,65.12,2.91,145.7,118.72,3.73,2025-03-14 00:00:00
5.0,2296.45,23.81,2.79,62.38,2.17,142.19,114.95,3.87,2025-03-14 01:00:00
5.0,2616.88,24.57,13.52,65.12,0.27,155.34,123.64,5.01,2025-03-14 02:00:00
5.0,3204.35,32.42,36.21,70.6,1.81,174.25,137.72,6.68,2025-03-14 03:00:00
5.0,3257.75,34.45,35.76,71.97,8.05,175.0,140.31,8.7,2025-03-14 04:00:00
5.0,3417.97,38.0,35.32,78.14,15.74,184.17,149.77,10.85,2025-03-14 05:00:00
5.0,3471.37,42.56,31.74,87.05,30.76,186.44,153.18,12.64,2025-03-14 06:00:00
3.0,1161.58,13.81,2.51,26.73,108.72,49.08,40.05,5.72,2025-03-14 07:00:00
3.0,754.36,8.74,0.5,11.48,127.32,20.22,15.81,3.55,2025-03-14 08:00:00
3.0,741.0,8.61,0.26,10.8,125.89,19.13,14.97,3.52,2025-03-14 09:00:00
3.0,687.6,7.92,0.12,10.02,121.59,15.96,12.49,3.1,2025-03-14 10:00:00
3.0,627.52,7.09,0.06,9.34,117.3,12.52,9.66,2.5,2025-03-14 11:00:00
3.0,607.49,6.84,0.02,9.08,115.87,11.32,8.76,2.15,2025-03-14 12:00:00
3.0,741.0,10.77,0.0,17.14,105.86,15.77,11.48,3.07,2025-03-14 13:00:00
2.0,921.25,17.99,0.0,26.05,90.12,24.94,16.82,4.47,2025-03-14 14:00:00
2.0,1054.76,24.32,0.0,30.5,77.96,35.84,23.66,5.42,2025-03-14 15:00:00
3.0,1375.2,34.45,0.0,43.87,54.36,59.24,39.31,5.84,2025-03-14 16:00:00
4.0,1869.2,45.09,0.22,63.75,23.6,94.75,63.82,6.14,2025-03-14 17:00:00
5.0,2376.56,45.6,4.81,79.51,3.08,126.37,87.03,6.26,2025-03-14 18:00:00
5.0,2750.4,41.04,12.29,82.94,0.08,143.69,101.47,5.84,2025-03-14 19:00:00
5.0,2803.8,37.49,12.85,82.94,0.05,148.94,106.6,4.89,2025-03-14 20:00:00
5.0,2750.4,38.0,11.4,80.2,0.06,152.51,109.61,4.29,2025-03-14 21:00:00
5.0,2750.4,63.84,11.06,80.2,0.02,158.8,114.88,5.84,2025-03-14 22:00:00
5.0,2803.8,92.21,11.06,82.25,0.02,164.31,120.69,7.75,2025-03-14 23:00:00
5.0,2777.1,110.45,11.18,82.25,0.03,166.83,124.86,8.94,2025-03-15 00:00:00
5.0,2830.51,125.65,13.3,82.25,0.02,169.89,128.68,10.13,2025-03-15 01:00:00
5.0,3124.24,143.89,24.81,82.94,0.12,186.42,140.49,12.76,2025-03-15 02:00:00
5.0,3685.0,160.1,48.73,82.25,4.07,212.8,158.55,15.5,2025-03-15 03:00:00
5.0,3524.78,95.25,50.96,69.92,7.33,206.27,150.58,10.73,2025-03-15 04:00:00
5.0,2990.72,67.89,35.76,59.63,19.13,183.72,131.29,8.11,2025-03-15 05:00:00
5.0,2403.26,51.17,17.43,52.78,52.21,162.62,116.94,7.75,2025-03-15 06:00:00
3.0,754.36,12.41,1.45,10.8,121.59,32.39,23.3,3.28,2025-03-15 07:00:00
3.0,540.73,7.35,0.41,5.18,127.32,13.76,9.7,2.0,2025-03-15 08:00:00
3.0,514.03,6.97,0.23,5.1,125.89,10.7,7.44,1.85,2025-03-15 09:00:00
3.0,520.71,7.22,0.17,5.65,124.45,9.73,6.73,1.94,2025-03-15 10:00:00
3.0,520.71,7.66,0.19,6.25,124.45,9.48,6.57,2.03,2025-03-15 11:00:00
3.0,527.38,8.04,0.16,7.2,123.02,9.2,6.31,2.03,2025-03-15 12:00:00
3.0,634.19,11.91,0.11,14.74,107.29,12.54,8.19,2.65,2025-03-15 13:00:00
2.0,821.11,19.76,0.0,25.02,84.4,20.94,13.08,3.73,2025-03-15 14:00:00
2.0,988.01,27.87,0.0,31.87,67.95,31.65,19.57,4.53,2025-03-15 15:00:00
3.0,1148.22,36.98,0.0,36.67,54.36,45.6,28.68,4.71,2025-03-15 16:00:00
3.0,1415.25,44.58,0.01,46.61,36.84,64.79,41.58,4.71,2025-03-15 17:00:00
4.0,1708.98,48.13,0.15,60.32,19.49,83.93,55.64,4.65,2025-03-15 18:00:00
4.0,1922.61,58.26,0.57,68.55,9.57,96.36,65.48,5.48,2025-03-15 19:00:00
4.0,2056.12,80.05,0.92,74.03,4.96,106.45,74.05,7.09,2025-03-15 20:00:00
5.0,2136.23,104.37,1.08,76.77,3.44,115.91,82.42,8.7,2025-03-15 21:00:00
5.0,2162.93,117.54,0.89,76.77,3.98,118.85,87.39,9.54,2025-03-15 22:00:00
5.0,2029.42,119.57,0.48,71.29,6.44,115.99,87.58,9.42,2025-03-15 23:00:00
5.0,1869.2,110.45,0.3,62.38,9.48,111.31,85.73,8.58,2025-03-16 00:00:00
5.0,1735.69,64.34,0.52,54.15,8.94,107.71,83.38,5.78,2025-03-16 01:00:00
5.0,1869.2,49.14,4.58,54.84,2.95,112.17,86.09,5.36,2025-03-16 02:00:00
5.0,2296.45,54.21,21.9,53.47,9.3,121.24,92.39,6.32,2025-03-16 03:00:00
5.0,2536.77,51.68,29.95,55.52,25.39,124.9,96.09,6.97,2025-03-16 04:00:00
5.0,2750.4,47.12,26.38,65.12,52.21,135.96,106.57,7.63,2025-03-16 05:00:00
5.0,2616.88,42.56,15.87,63.75,103.0,144.4,115.65,8.11,2025-03-16 06:00:00
4.0,694.27,12.16,1.15,7.11,144.48,29.89,21.89,2.68,2025-03-16 07:00:00
4.0,480.65,7.66,0.4,2.72,144.48,16.55,11.66,1.55,2025-03-16 08:00:00
4.0,433.92,6.9,0.37,2.59,143.05,14.81,10.56,1.45,2025-03-16 09:00:00
4.0,417.23,6.52,0.37,2.78,143.05,14.04,10.22,1.46,2025-03-16 10:00:00
4.0,410.56,6.46,0.36,3.26,143.05,14.01,10.49,1.51,2025-03-16 11:00:00
4.0,420.57,6.78,0.3,4.16,141.62,14.35,10.95,1.55,2025-03-16 12:00:00
3.0,794.41,16.72,0.52,27.08,107.29,27.35,19.98,3.22,2025-03-16 13:00:00
3.0,1375.2,31.16,0.01,57.58,57.22,53.9,38.22,5.78,2025-03-16 14:00:00
4.0,1869.2,42.56,0.14,77.46,25.03,81.74,57.73,7.63,2025-03-16 15:00:00
5.0,2189.64,54.21,1.01,85.0,9.03,108.2,76.68,8.58,2025-03-16 16:00:00
5.0,2483.37,64.34,3.44,87.74,2.62,134.32,96.17,8.82,2025-03-16 17:00:00
5.0,2830.51,71.94,7.38,93.22,0.56,157.85,115.32,8.46,2025-03-16 18:00:00
5.0,2910.61,78.02,7.82,97.33,0.49,161.03,120.06,7.39,2025-03-16 19:00:00
5.0,2723.69,95.25,4.81,93.22,1.2,153.06,114.52,7.99,2025-03-16 20:00:00
5.0,2403.26,121.59,1.66,82.94,3.67,145.75,108.32,9.42,2025-03-16 21:00:00
5.0,2136.23,143.89,0.46,75.4,7.6,135.11,99.66,10.61,2025-03-16 22:00:00
5.0,1922.61,156.04,0.16,67.86,12.34,125.28,91.75,11.21,2025-03-16 23:00:00
5.0,1762.39,166.18,0.1,62.38,15.91,119.2,86.78,11.56,2025-03-17 00:00:00
5.0,1842.5,178.34,0.39,67.17,11.8,123.07,89.05,12.87,2025-03-17 01:00:00
5.0,2296.45,190.5,9.95,80.2,1.52,144.5,104.19,16.21,2025-03-17 02:00:00
5.0,3231.05,196.58,45.15,85.0,5.63,174.74,126.66,20.74,2025-03-17 03:00:00
5.0,3952.03,164.15,70.63,86.37,14.48,203.15,150.18,20.74,2025-03-17 04:00:00
5.0,4058.84,116.53,58.11,100.08,34.33,225.4,171.56,18.36,2025-03-17 05:00:00
5.0,3578.19,103.35,29.06,102.82,89.41,249.31,199.77,20.74,2025-03-17 06:00:00
4.0,974.66,24.83,2.12,15.42,164.51,76.41,64.97,9.18,2025-03-17 07:00:00
4.0,627.52,13.81,0.6,5.57,167.37,41.88,34.57,5.07,2025-03-17 08:00:00
4.0,567.44,12.16,0.4,4.63,165.94,35.34,28.47,4.35,2025-03-17 09:00:00
4.0,534.06,10.89,0.35,4.8,163.08,32.36,25.61,4.05,2025-03-17 10:00:00
