base_timestamp,target_timestamp,horizon,prediction
2025-07-30 15:00:00,2025-07-31 15:00:00,24h,112.08992862170817
2025-07-30 15:00:00,2025-08-01 15:00:00,48h,129.0307159423828
2025-07-30 15:00:00,2025-08-02 15:00:00,72h,127.20864868164062
