base_timestamp,target_timestamp,horizon,prediction
2025-08-08 19:00:00,2025-08-09 19:00:00,24h,146.2396549379818
2025-08-08 19:00:00,2025-08-10 19:00:00,48h,123.55142974853516
2025-08-08 19:00:00,2025-08-11 19:00:00,72h,120.41793060302734
