base_timestamp,target_timestamp,horizon,prediction
2025-08-02 11:00:00,2025-08-03 11:00:00,24h,128.8160913353455
2025-08-02 11:00:00,2025-08-04 11:00:00,48h,122.28203582763672
2025-08-02 11:00:00,2025-08-05 11:00:00,72h,108.9708480834961
