base_timestamp,target_timestamp,horizon,prediction
2025-08-11 15:00:00,2025-08-12 15:00:00,24h,140.90480485080383
2025-08-11 15:00:00,2025-08-13 15:00:00,48h,106.02464294433594
2025-08-11 15:00:00,2025-08-14 15:00:00,72h,112.26396942138672
