base_timestamp,target_timestamp,horizon,prediction
2025-08-08 03:00:00,2025-08-09 03:00:00,24h,145.98572953005606
2025-08-08 03:00:00,2025-08-10 03:00:00,48h,116.7051773071289
2025-08-08 03:00:00,2025-08-11 03:00:00,72h,115.08650207519531
