fold,24h_true,24h_pred,48h_true,48h_pred,72h_true,72h_pred
1,94.0,105.44976031455205,88.0,117.25376892089844,84.0,119.91902923583984
2,153.0,133.77388168572134,90.0,122.7790298461914,76.0,130.5243377685547
3,133.0,138.4083830802347,117.0,132.72552490234375,99.0,130.56756591796875
4,112.0,139.62198898500975,121.0,132.673828125,152.0,130.4919891357422
5,59.0,94.48308279715914,85.0,108.93824768066406,103.0,102.9682846069336
